1,Ábelová,33,Lučenec
2,Abovce,53,Rimavská Sobota
3,Abrahám,16,Galanta
4,Abrahámovce,21,Kežmarok
5,Abrahámovce,4,Bardejov
6,Abramová,71,Turčianske Teplice
7,Abranovce,49,Prešov
8,Adamovské Kochanovce,69,Trenčín
9,Adidovce,19,Humenné
10,Albínov,68,Trebišov
11,Alekšince,40,Nitra
12,Alexandrov Dvor,40,Nitra
13,Alžbetin Dvor,57,Senec
14,Amadeho Kračany,15,Dunajská Streda
15,Aňala,22,Komárno
16,Aňalské Záhrady,22,Komárno
17,Andač,40,Nitra
18,Andice,32,Liptovský Mikuláš
19,Andovce,42,Nové Zámky
20,Andrejová,4,Bardejov
21,Andrejovka,63,Stará Ľubovňa
22,Arad,42,Nové Zámky
23,Ardanovce,67,Topoľčany
24,Ardovo,54,Rožňava
25,Arma,30,Levice
26,Arnutovce,62,Spišská Nová Ves
27,Báb,40,Nitra
28,Babie,74,Vranov nad Topľou
29,Babín,39,Námestovo
30,Babin Potok,49,Prešov
31,Babiná,76,Zvolen
32,Babindol,40,Nitra
33,Babinec,53,Rimavská Sobota
34,Babiše,11,Bytča
35,Babkov,79,Žilina
36,Babulicov Vrch,38,Myjava
37,Bacúch,10,Brezno
38,Bacúrov,76,Zvolen
39,Báč,15,Dunajská Streda
40,Bačala,40,Nitra
41,Bačka,68,Trebišov
42,Bačkov,68,Trebišov
43,Bačkovík,27,Košice-okolie
44,Báčovce,28,Krupina
45,Baďan,3,Banská Štiavnica
46,Bádice,40,Nitra
47,Badín,2,Banská Bystrica
48,Báhoň,44,Pezinok
49,Bajany,37,Michalovce
50,Bajč,22,Komárno
51,Bajerov,49,Prešov
52,Bajerovce,56,Sabinov
53,Bajka,30,Levice
54,Bajtava,42,Nové Zámky
55,Baka,15,Dunajská Streda
56,Bakta,53,Rimavská Sobota
57,Baláže,2,Banská Bystrica
58,Baldovce,31,Levoča
59,Balog nad Ipľom,73,Veľký Krtíš
60,Baloň,15,Dunajská Streda
61,Balvany,22,Komárno
62,Baňa,64,Stropkov
63,Baňa Lucia,27,Košice-okolie
64,Banka,45,Piešťany
65,Banky,3,Banská Štiavnica
66,Banky,50,Prievidza
67,Bánov,42,Nové Zámky
68,Bánová,79,Žilina
69,Bánovce nad Bebravou,1,Bánovce nad Bebravou
70,Bánovce nad Ondavou,37,Michalovce
71,Banská,50,Prievidza
72,Banská Belá,3,Banská Štiavnica
73,Banská Bystrica,2,Banská Bystrica
74,Banská Hodruša,77,Žarnovica
75,Banská Štiavnica,3,Banská Štiavnica
76,Banské,74,Vranov nad Topľou
77,Banský Studenec,3,Banská Štiavnica
78,Bara,68,Trebišov
79,Barca,53,Rimavská Sobota
80,Bardejov,4,Bardejov
81,Bardejovská Nová Ves,4,Bardejov
82,Bardejovská Zábava,4,Bardejov
83,Bardejovské Kúpele,4,Bardejov
84,Bardoňovo,42,Nové Zámky
85,Bartošova Lehôtka,78,Žiar nad Hronom
86,Bartošovce,4,Bardejov
87,Baška,27,Košice-okolie
88,Baškovce,19,Humenné
89,Baškovce,61,Sobrance
90,Bašovce,45,Piešťany
91,Baštín,43,Partizánske
92,Batizovce,47,Poprad
93,Bátka,53,Rimavská Sobota
94,Bátorová,73,Veľký Krtíš
95,Bátorove Kosihy,22,Komárno
96,Bátovce,30,Levice
97,Beckov,41,Nové Mesto nad Váhom
98,Beckovská Vieska,41,Nové Mesto nad Váhom
99,Bečov,2,Banská Bystrica
100,Beharovce,31,Levoča
101,Behynce,67,Topoľčany
102,Behynce,52,Revúca
103,Becherov,4,Bardejov
104,Beketfa,15,Dunajská Streda
105,Belá,79,Žilina
106,Belá,42,Nové Zámky
107,Belá - Dulice,35,Martin
108,Belá nad Cirochou,60,Snina
109,Beladice,75,Zlaté Moravce
110,Belejov,48,Považská Bystrica
111,Belejovce,65,Svidník
112,Belek,42,Nové Zámky
113,Belín,53,Rimavská Sobota
114,Belina,33,Lučenec
115,Belince,67,Topoľčany
116,Bellova Ves,15,Dunajská Streda
117,Beloveža,4,Bardejov
118,Beluj,3,Banská Štiavnica
119,Beluša,51,Púchov
120,Belža,27,Košice-okolie
121,Beňadiková,32,Liptovský Mikuláš
122,Beňadikovce,65,Svidník
123,Beňadovo,39,Námestovo
124,Beňatina,61,Sobrance
125,Beniakovce,27,Košice-okolie
126,Benice,32,Liptovský Mikuláš
127,Benice,35,Martin
128,Benkova Potôň,15,Dunajská Streda
129,Benkovce,74,Vranov nad Topľou
130,Beňov,11,Bytča
131,Beňova Lehota,14,Dolný Kubín
132,Beňuš,10,Brezno
133,Beňušovce,32,Liptovský Mikuláš
134,Bernátovce,27,Košice-okolie
