Obec,SUM of Pocet
Arnutovce,2
Báb,3
Babín,9
Bačkov,1
Bačkovík,2
Badín,2
Báhoň,2
Bajč,2
Bajerov,1
Bajerovce,3
Banka,4
Bánov,4
Bánovce nad Bebravou,17
Banská Belá,2
Banská Bystrica,131
Banská Štiavnica,5
Banské,2
Bardejov,165
Bardoňovo,2
Baškovce (SO),4
Batizovce,3
Bátorove Kosihy,2
Beckov,2
Belá (ZA),1
Belá nad Cirochou,16
Belá-Dulice,1
Beladice,1
Beloveža,4
Beluša,5
Beňadiková,2
Beňadovo,4
Beňatina,6
Beniakovce,4
Benice,9
Benkovce,1
Beňuš,1
Bernolákovo,26
Bešeňov,2
Betlanovce,3
Betliar,1
Bežovce,2
Biel,1
Biely Kostol,5
Blatné,1
Blatné Remety,4
Blatné Revištia,4
Blatnica,1
Bobot,1
Bobrov,11
Bobrovec,4
Bohdanovce nad Trnavou,2
Bojná,2
Bojnice,18
Bojničky,2
Boľ,4
Boldog,1
Boleráz,2
Borinka,3
Borša,4
Borský Mikuláš,1
Bošany,2
Branč,2
Branovo,2
Bratislava,23
Bratislava - Devínska Nová Ves,16
Bratislava - Dúbravka,49
Bratislava - Jarovce,1
Bratislava - Karlova Ves,33
Bratislava - Lamač,1
Bratislava - Nové Mesto,46
Bratislava - Petržalka,98
Bratislava - Podunajské Biskupice,18
Bratislava - Rača,18
Bratislava - Rusovce,2
Bratislava - Ružinov,88
Bratislava - Staré Mesto,93
Bratislava - Vajnory,5
Bratislava - Vrakuňa,7
Bratislava - Záhorská Bystrica,10
Brestov (PO),3
Brestovany,4
Brestovec (MY),3
Breza,20
Breznica,2
Brezno,39
Brezová pod Bradlom,14
Brezovica (SB),1
Brezovica (TS),10
Brezovička,2
Brezovka,1
Brodské,2
Brusno,1
Brvnište,2
Bučany,5
Budča,1
Budimír,5
Budmerice,1
Buková,3
Bukovce,1
Bukovec (KS),12
Bukovina,1
Bystrá (SP),1
Bystričany,21
Bystrička,2
Bytča,5
Bziny,1
Bzovík,2
Cabaj-Čápor,23
Čachtice,2
Čadca,14
Čakajovce,1
Čalovec,1
Čaradice,1
Čáry,1
Častá,1
Čataj,1
Čebovce,10
Čečejovce,1
Cejkov,1
Čeľadince,1
Čeľovce,1
Čenkovce,1
Čereňany,2
Čerhov,4
Čermany,1
Černík,16
Cernina,4
Cerová,1
Cerovo,1
Červenica pri Sabinove,1
Červeník,1
Červený Kameň,3
Chlebnice,7
Chlmec,3
Chocholná-Velčice,3
Choňkovce,2
Chorvátsky Grob,4
Chotča,4
Chotín,1
Chrenovec-Brusno,1
Chtelnica,1
Chvojnica (PD),1
Chynorany,3
Číčov,2
Čierna,1
Čierna nad Tisou,2
Čierne,1
Čierny Balog,10
Cífer,19
Cigeľ,2
Cigeľka,15
Čiližská Radvaň,1
Cimenná,2
Čimhová,2
Čirč,7
Ďačov,2
Ďanová,1
Dargov,3
Davidov,1
Dechtice,2
Dedina Mládeže,4
Dedinka,1
Demjata,2
Detva,20
Dežerice,1
Diaková,2
Diakovce,2
Diviacka Nová Ves,8
Diviaky nad Nitricou,3
Dlhá nad Oravou,11
Dlhé Klčovo,3
Dlhé nad Cirochou,21
Dlhé Pole,2
Dobrá,1
Dobšiná,1
Dolná Krupá,1
Dolná Mičiná,1
Dolná Seč,1
Dolná Streda,1
Dolná Strehová,1
Dolná Súča,2
Dolné Kočkovce,1
Dolné Lefantovce,1
