,village_name,district_name,population
0,Ábelová,Lučenec,196.0
1,Abovce,Rimavská Sobota,626.0
2,Abrahám,Galanta,1055.0
3,Abrahámovce,Kežmarok,269.0
4,Abrahámovce,Bardejov,341.0
5,Abramová,Turčianske Teplice,177.0
6,Abranovce,Prešov,696.0
7,Adamovské_Kochanovce,Trenčín,888.0
8,Adidovce,Humenné,221.0
9,Albínov,Trebišov,164.0
10,Alekšince,Nitra,1669.0
11,Alexandrov_Dvor,Nitra,NaN
12,Alžbetin_Dvor,Senec,NaN
13,Amadeho_Kračany,Dunajská Streda,NaN
14,Aňala,Komárno,NaN
15,Aňalské_Záhrady,Komárno,NaN
16,Andač,Nitra,NaN
17,Andice,Liptovský Mikuláš,NaN
18,Andovce,Nové Zámky,1579
19,Andrejová,Bardejov,366
20,Andrejovka,Stará Ľubovňa,NaN
21,Arad,Nové Zámky,NaN
22,Ardanovce,Topoľčany,207
23,Ardovo,Rožňava,163
24,Arma,Levice,NaN
25,Arnutovce,Spišská Nová Ves,809
26,Báb,Nitra,1115
27,Babie,Vranov nad Topľou,236
28,Babín,Námestovo,1442
29,Babin_Potok,Prešov,NaN
30,Babiná,Zvolen,550
31,Babindol,Nitra,808
32,Babinec,Rimavská Sobota,60
33,Babiše,Bytča,NaN
34,Babkov,Žilina,NaN
35,Babulicov_Vrch,Myjava,NaN
36,Bacúch,Brezno,911
37,Bacúrov,Zvolen,165
38,Báč,Dunajská Streda,551
39,Bačala,Nitra,NaN
40,Bačka,Trebišov,638
41,Bačkov,Trebišov,719
42,Bačkovík,Košice-okolie,585
43,Báčovce,Krupina,NaN
44,Baďan,Banská Štiavnica,172
45,Bádice,Nitra,376
46,Badín,Banská Bystrica,2028
47,Báhoň,Pezinok,1856
48,Bajany,Michalovce,466
49,Bajč,Komárno,1222
50,Bajerov,Prešov,439
51,Bajerovce,Sabinov,290
52,Bajka,Levice,330
53,Bajtava,Nové Zámky,401
54,Baka,Dunajská Streda,1095
55,Bakta,Rimavská Sobota,NaN
